Timestamp,what is the chance the patient will move the correct token at his first attempt?,what is the chance the patient will move the correct token at his second attempt?,what is the chance the patient will move the correct token at his third attempt?,what is the chance the patient will move the correct token at his fourth attempt?,what is the chance the patient will move the correct token at the beginning of the game?,what is the chance the patient will move the correct token in the middle of the game?,what is the chance the patient will move the correct token at the end of the game?,what is the chance the patient will make a correct move at lev_0?,what is the chance the patient will make a correct move at lev_1?,what is the chance the patient will make a correct move at lev_2?,what is the chance the patient will make a correct move at lev_3?,what is the chance the patient will make a correct move at lev_4?,what is the chance the patient will make a correct move at lev_5?,Would you offer LEV 0 at the user's first attempt?,Would you offer LEV 1 at the user's first attempt?,Would you offer LEV 2 at the user's first attempt?,Would you offer LEV 3 at the user's first attempt?,Would you offer LEV 4 at the user's first attempt?,Would you offer LEV 5 at the user's first attempt?,Would you offer LEV 0 at the user's second attempt?,Would you offer LEV 1 at the user's second attempt?,Would you offer LEV 2 at the user's second attempt?,Would you offer LEV 3 at the user's second attempt?,Would you offer LEV 4 at the user's second attempt?,Would you offer LEV 5 at the user's second attempt?,Would you offer LEV 0 at the user's third attempt?,Would you offer LEV 1 at the user's third attempt?,Would you offer LEV 2 at the user's third attempt?,Would you offer LEV 3 at the user's third attempt?,Would you offer LEV 4 at the user's third attempt?,Would you offer LEV 5 at the user's third attempt?,Would you offer LEV 0 at the user's fourth attempt?,Would you offer LEV 1 at the user's fourth attempt?,Would you offer LEV 2 at the user's fourth attempt?,Would you offer LEV 3 at the user's fourth attempt?,Would you offer LEV 4 at the user's fourth attempt?,Would you offer LEV 5 at the user's fourth attempt?,User_ID
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,
12/11/2020 17:47:54,3,4,4,5,3,4,5,3,3,4,4,5,5,5,5,4,4,3,3,2,2,3,3,3,3,2,2,4,4,5,5,2,2,3,3,5,5,1
12/11/2020 17:52:53,3,4,5,5,3,4,5,3,3,4,4,5,5,3,3,2,2,1,1,3,3,2,2,2,2,4,4,4,4,5,5,5,5,5,5,5,5,2
12/11/2020 17:55:22,2,3,4,5,2,3,5,2,2,3,3,4,4,5,5,3,3,2,2,4,4,3,3,2,2,5,5,4,4,3,3,5,5,5,4,4,4,3
12/11/2020 18:01:26,3,4,5,5,3,4,5,3,4,5,5,5,5,5,3,2,2,1,1,5,3,2,2,1,1,5,4,3,3,3,3,5,4,4,4,4,4,5
12/11/2020 18:08:40,2,3,3,4,2,3,4,2,2,3,3,5,5,5,4,3,3,2,1,5,4,3,3,3,2,5,4,4,4,3,2,5,5,4,4,4,4,6
13/11/2020 16:01:17,2,2,3,3,2,2,3,2,2,2,3,3,3,5,5,5,4,2,2,5,5,4,2,2,1,5,5,3,3,2,1,5,5,3,3,2,1,7
13/11/2020 16:03:28,3,3,4,4,3,4,4,3,3,4,4,5,5,3,3,2,2,2,2,4,4,3,3,2,2,4,4,3,3,2,2,4,4,3,3,2,2,8
13/11/2020 16:11:48,2,3,4,4,2,4,4,2,2,4,4,4,4,2,4,4,4,4,4,3,4,4,4,4,4,2,4,4,4,4,4,2,4,4,4,4,4,9
13/11/2020 16:14:34,3,4,4,5,3,4,5,3,3,4,4,5,5,2,3,2,2,1,1,1,3,2,2,1,1,3,2,2,2,1,1,3,3,2,2,1,1,10